TransactionID,Date,Type,Category,SubCategory,Amount,PaymentMethod,Merchant
TXN0001,2025-01-01,Income,Salary,Monthly Salary,32050.02,Bank Transfer,TechCorp A.S.
TXN0002,2025-01-01,Expense,Savings,Mutual Fund,-1190.11,Cash,Garanti BBVA
TXN0003,2025-01-01,Expense,Education,Book,-62.99,Cash,Coursera
TXN0004,2025-01-01,Expense,Food,Restaurant,-271.97,Debit Card,Starbucks
TXN0005,2025-01-01,Expense,Housing,Rent,-8500.0,Bank Transfer,Landlord
TXN0006,2025-01-02,Expense,Food,Groceries,-31.96,Debit Card,Getir
TXN0007,2025-01-02,Expense,Food,Groceries,-160.46,Credit Card,Getir
TXN0008,2025-01-03,Expense,Utilities,Internet,-50.38,Cash,ASKI
TXN0009,2025-01-03,Expense,Personal Care,Haircut,-311.16,,Gratis
TXN0010,2025-01-03,Expense,Health,Pharmacy,-335.53,Debit Card,Acibadem
TXN0011,2025-01-03,Expense,Utilities,Phone,-114.67,Credit Card,Superonline
TXN0012,2025-01-04,Expense,Food,Groceries,-215.98,Debit Card,Starbucks
TXN0013,2025-01-04,Expense,Entertainment,Cinema,-32.11,Cash,Netflix
TXN0014,2025-01-04,Expense,Entertainment,Streaming,-95.38,Credit Card,Biletix
TXN0018,2025-01-05,Expense,Transportation,Taxi,-34.41,Credit Card,Shell
TXN0017,2025-01-05,Expense,Shopping,Clothing,-249.64,Credit Card,IKEA
TXN0015,2025-01-05,Expense,Entertainment,Streaming,-434.63,Cash,Biletix
TXN0016,2025-01-05,Expense,Shopping,Clothing,-434.78,Debit Card,IKEA
TXN0019,2025-01-06,Expense,Utilities,Electricity,-56.69,Cash,Enerjisa
TXN0020,2025-01-07,Expense,Shopping,Clothing,-508.19,Cash,IKEA
TXN0021,2025-01-08,Expense,Shopping,Electronics,-100.41,Debit Card,Trendyol
TXN0022,2025-01-08,Expense,Food,Groceries,-115.83,Cash,Starbucks
TXN0023,2025-01-09,Expense,Food,Groceries,-138.69,Debit Card,Starbucks
TXN0024,2025-01-09,Expense,Personal Care,Haircut,-378.36,Credit Card,Sephora
TXN0025,2025-01-10,Expense,Shopping,Clothing,-181.08,Credit Card,MediaMarkt
TXN0026,2025-01-10,Expense,Personal Care,Cosmetics,-267.81,Debit Card,Gratis
TXN0027,2025-01-11,Expense,Utilities,Water,-49.45,Credit Card,Superonline
TXN0028,2025-01-11,Expense,Personal Care,Haircut,-234.04,Cash,Sephora
TXN0029,2025-01-13,Expense,food,Restaurant,-267.26,Credit Card,Migros
TXN0032,2025-01-14,Income,Freelance,Freelance Project,3403.53,Bank Transfer,Direct Client
TXN0033,2025-01-14,Expense,Transportation,Taxi,-138.86,Cash,BiTaksi
TXN0030,2025-01-14,Expense,Food,Restaurant,-245.38,Credit Card,Getir
TXN0031,2025-01-14,Expense,Food,Cafe,-274.04,Debit Card,CarrefourSA
TXN0034,2025-01-14,Expense,Savings,Mutual Fund,-505.45,Cash,Garanti BBVA
TXN0036,2025-01-16,Expense,Shopping,Electronics,-183.19,Cash,IKEA
TXN0035,2025-01-16,Expense,Entertainment,Concert,-297.81,Debit Card,Cinemaximum
TXN0037,2025-01-17,Expense,Shopping,Clothing,-300.14,Credit Card,IKEA
TXN0038,2025-01-17,Expense,Transportation,Public Transport,-87.6,Debit Card,Ankara EGO
TXN0039,2025-01-18,Expense,Food,Restaurant,-267.43,Credit Card,CarrefourSA
TXN0040,2025-01-19,Expense,Entertainment,Concert,-170.85,Cash,Spotify
TXN0041,2025-01-19,Expense,Food,Groceries,-250.31,Debit Card,Getir
TXN0042,2025-01-19,Expense,Entertainment,Concert,-302.91,Credit Card,Biletix
TXN0044,2025-01-20,Expense,Food,Restaurant,-187.61,Credit Card,Migros
TXN0043,2025-01-20,Expense,food,Restaurant,-180.74,Cash,Getir
